Date & Time,Content,User,Location
2022-05-07 15:36:58,"b'PHASE 1 DROP NEXT MONDAY, 05.09.22\xf0\x9f\x9a\x80\nAll links in bio\xe2\x9d\xa4\n#NFT #NFTCommunity #NFTGiveaway #nftcollector #Drop #Opensea\xe2\x80\xa6 https://t.co/Xu0HPN4tSg'",b'HypersClubNFT',b''
2022-05-07 15:36:58,b'@jf_nft morningggg\xf0\x9f\x92\x9a',b'avaaaaart',"b'\xc4\xb0stanbul, Turkey'"
2022-05-07 15:36:57,b'@isaacHaku @brand_nft @RTFKT @moonbirds thanks \xf0\x9f\x98\x81',b'hkm_crypto',b'Metaverse'
2022-05-07 15:36:57,b'@Stepnofficial What a great NFT for 2022!! \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xe2\x9d\xa4\xef\xb8\x8f',b'Kaijuu81744023',b''
2022-05-07 15:36:56,"b""@YouByBFF 'You by BFF' Airdrop LIVE - view Bio, @BoredKanga @PineappleCrypt2 @mitchphelps50 @AnnaRob14910591\xe2\x80\xa6 https://t.co/RiatBF269C""",b'AmieBak37602191',b''
2022-05-07 15:36:56,b'@Tracybilabo @WSecretClub_nft @BAD_Verse Thank you for this huge opportunity\n@hazespace888\n@dianne_fayeee\xe2\x80\xa6 https://t.co/RPBAxyov3V',b'Marilina00',b''
2022-05-07 15:36:56,"b""Walken is connecting healthy lifestyle, #NFT and #MoveToEarn. I'm in for it! \xf0\x9f\x92\xaa https://t.co/VA7MYNMi3Y""",b'Cuancrypto1',"b'DKI Jakarta, Indonesia'"
2022-05-07 15:36:56,b'@WSecretClub_nft @IsekaiMeta Good luck everyone would be amazing to win @forsetifx @NFT4950JONI',b'Jennyy1314',b'Australia'
2022-05-07 15:36:55,b'Shot \xf0\x9f\x93\xb7\xf0\x9f\x93\xb7 and edited by me by me \n\nhttps://t.co/V407NrJLgT\n\n#NFT #NFTCollection @artsbyais @opensea @Coinbase_NFT\xe2\x80\xa6 https://t.co/okm13xa942',b'artbytoptea',b'Nigeria'
2022-05-07 15:36:55,b'@_MVNDAY @0xApes_NFT Check out @etcbayc floor has been pumping',b'Python_etc',b'Loading\xe2\x80\xa6'
2022-05-07 15:36:55,b'@danksince93 @Jayme_NFT @coinbase @Algorand You may purchase my Toxic mind NFT on Rarible now\xe2\x80\xa6 https://t.co/aVDy3zgtjC',b'abbasrashidi15',b''
2022-05-07 15:36:55,b'Which #SolNFT you will like to mint today  \n\n@saladcatcoin vs @PhantoMolyKDS vs @GoonedBandits vs @UrbanLegendsNFT\xe2\x80\xa6 https://t.co/6AMjdPRN4Z',b'cryptosphere01',b''
2022-05-07 15:36:55,b'@Moonsie_NFT @FlipprTool @J777Crypto @darwin_nft full of expectation @AhanafSamim @MarlonKunze2 @kenna_tharp @claudio_effie @GPosustar .',b'yrfjyfhj',b''
2022-05-07 15:36:55,b'@YouByBFF Get your Free BFF PFP - read Bio @defimonk @SaxonAndrew5 @glass_momma @MadgeForster10 @JayWill22610786\xe2\x80\xa6 https://t.co/vDc4xBfOkI',b'MaryBos91928130',b''
2022-05-07 15:36:55,b'@VioletEmoji_NFT @NFTizzy_ Wow this is an awesome giveaway. \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 i hope i win good luck to everyone guys\xe2\x98\xba\xe2\x80\xa6 https://t.co/QyhLQxTxw3',b'AniceWorang',"b'Kota Magelang, Jawa Tengah'"
2022-05-07 15:36:54,"b'@SwiftShootout I Think, this is very strong project\nThanks for shared this wonderful opportunity\nBest wishes for al\xe2\x80\xa6 https://t.co/cWCuFKaxOo'",b'MHSamraat884',"b'Chittagong, Bangladesh'"
2022-05-07 15:36:54,b'CHECK OUT THIS ART CONTEST SUBMISSION. https://t.co/75NL47qf1c https://t.co/phyJu465ro',b'FUC_nft',"b'Los Angeles, CA'"
2022-05-07 15:36:54,b'@TheCryptoTulip Out now! Our brand new #nft live on #opeansea \n\nPlant tree with NFT \xf0\x9f\x8c\xb3\xe2\x98\x98\xef\xb8\x8f\xf0\x9f\x8c\xb3\xe2\x98\x98\xef\xb8\x8f\nEach sold nft = 1 or mor\xe2\x80\xa6 https://t.co/ymwpoGiiAC',b'CryptoZombieCS',"b'Mazowieckie, Polska'"
2022-05-07 15:36:54,b'What do you value most in a collection of NFTs? #NFT #NFTs #NFTCollection #NFTCommunity #NFTProject #NFTart',b'ladyNFTcrypto',b'Metaverse'
2022-05-07 15:36:53,b'@A100888 @lizzy_nft \xf0\x9f\x8c\x88 Done \xf0\x9f\x91\x8c\xf0\x9f\x92\xaf\n \nhttps://t.co/uLz1gWkGOB https://t.co/tkD4G66Om3',b'C6H6_Win',b'Metaverse \xf0\x9f\x87\xae\xf0\x9f\x87\xa9'
2022-05-07 15:36:53,b'@SoulZ_NFT @GiveawaysSoulz @JukiverseNFT amazing @William74638751 @TomNort50392829 @BurneParker',b'RosemaryMarcus8',b''
2022-05-07 15:36:53,b'\xf0\x9f\x9a\xa8 Meta Legend #11149 has been sold for 0.11\xce\x9e ($296.88) \n\n #NFT #MetaLegends #GoLegends https://t.co/McYOAgoDLI',b'MetaLegendsBot',b'Metaverse'
2022-05-07 15:36:53,"b""@PancakeSwap I don't get the pop to claim the nft :(""",b'tcmlemos',"b'Bai\xc3\xa3o, Portugal'"
2022-05-07 15:36:53,b'0.4eth #1884 rank22\n\n@EtherealartNFT #NFTs #NFT #NFTSell #nftart https://t.co/ySwxggQZ4f',b'plus1029',b''
2022-05-07 15:36:52,b'@101Ecko You must check @MintHuntersNFT. Made for real degen NFT minters. Holders will receive free whitelist spots\xe2\x80\xa6 https://t.co/ayTF5kGg5C',b'HollyBowes4',b''
2022-05-07 15:36:52,b'@_Pawws @singpentinkhepi We interacting',b'Nft_degen07',"b'Lagos, Nigeria'"
2022-05-07 15:36:52,b'We are not in North Korea so you can buy #NFT',b'AfonyaPR',b''
2022-05-07 15:36:52,b'@azworld_network @CertiKTech I believe this is a faithful project.The projector has a lot of attractions so hopeful\xe2\x80\xa6 https://t.co/kJPal8zg7l',b'Rofiq23au',"b'INDIA, WEST BENGAL'"
